PlayerYearID|Name|Year|POS|Team|HGT|WGT|FORTY|VERT|BENCH|BROAD|CONE|SHUT|College Link|NFL Link|CollegeID|PlayerID
genard-avery-1|Genard Avery|2018|ILB|Memphis|73|248|4.59|36.0|26.0|124.0|6.9|4.36|/cfb/players/genard-avery-1.html||genard-avery-1|
geron-christian-1|Geron Christian|2018|OT|Louisville|77|298|5.33||19.0||||/cfb/players/geron-christian-1.html|/players/C/ChriGe01.htm|geron-christian-1|ChriGe01
godwin-igwebuike-1|Godwin Igwebuike|2018|S|Northwestern|72|205|4.44|35.5|19.0|128.0|6.56|4.12|/cfb/players/godwin-igwebuike-1.html|/players/I/IgweGo00.htm|godwin-igwebuike-1|IgweGo00
grant-haley-1|Grant Haley|2018|CB|Penn St.|69|190|4.44|34.0|15.0|119.0|6.51|3.94|/cfb/players/grant-haley-1.html||grant-haley-1|
greg-senat-2018|Greg Senat|2018|OT|Wagner|78|302|5.38|26.0|19.0|106.0|7.41|4.71||||
greg-stroman-1|Greg Stroman|2018|CB|Virginia Tech|72|180|4.48|33.5|16.0|113.0||4.45|/cfb/players/greg-stroman-1.html|/players/S/StroGr00.htm|greg-stroman-1|StroGr00
harold-landry-1|Harold Landry|2018|EDGE|Boston College|75|252|4.64|36.0|24.0|119.0|6.88|4.19|/cfb/players/harold-landry-1.html|/players/L/LandHa00.htm|harold-landry-1|LandHa00
harrison-phillips-1|Harrison Phillips|2018|DT|Stanford|76|307|5.21|32.0|42.0|103.0|7.28|4.5|/cfb/players/harrison-phillips-1.html|/players/P/PhilHa00.htm|harrison-phillips-1|PhilHa00
hayden-hurst-1|Hayden Hurst|2018|TE|South Carolina|76|250|4.67|31.5||120.0|7.19|4.37|/cfb/players/hayden-hurst-1.html|/players/H/HursHa00.htm|hayden-hurst-1|HursHa00
henre-toliver-1|Henre Toliver|2018|CB|Arkansas|73|185|4.63|32.5|6.0|117.0|7.01|4.15|/cfb/players/henre-toliver-1.html||henre-toliver-1|
hercules-mataafa-1|Hercules Mata'afa|2018|EDGE|Washington St.|73|254|4.76|31.5|26.0|108.0|7.24|4.37|/cfb/players/hercules-mataafa-1.html|/players/M/MataHe00.htm|hercules-mataafa-1|MataHe00
holton-hill-1|Holton Hill|2018|CB|Texas|75|200|4.49|31.0|14.0|120.0|6.83|4.15|/cfb/players/holton-hill-1.html|/players/H/HillHo00.htm|holton-hill-1|HillHo00
ian-thomas-3|Ian Thomas|2018|TE|Indiana|76|259|4.74|36.0||123.0|7.15|4.2|/cfb/players/ian-thomas-3.html|/players/T/ThomIa00.htm|ian-thomas-3|ThomIa00
isaac-yiadom-1|Isaac Yiadom|2018|CB|Boston College|73|190|4.52||8.0|120.0||4.18|/cfb/players/isaac-yiadom-1.html|/players/Y/YiadIs00.htm|isaac-yiadom-1|YiadIs00
isaiah-oliver-1|Isaiah Oliver|2018|CB|Colorado|73|190|4.5||||||/cfb/players/isaiah-oliver-1.html|/players/O/OlivIs00.htm|isaiah-oliver-1|OlivIs00
isaiah-wynn-1|Isaiah Wynn|2018|OG|Georgia|75|313|||||||/cfb/players/isaiah-wynn-1.html|/players/W/WynnIs00.htm|isaiah-wynn-1|WynnIs00
jack-cichy-1|Jack Cichy|2018|ILB|Wisconsin|74|238|||18.0||||/cfb/players/jack-cichy-1.html|/players/C/CichJa00.htm|jack-cichy-1|CichJa00
jacob-pugh-1|Jacob Pugh|2018|OLB|Florida St.|76|246|4.65|38.5||122.0|||/cfb/players/jacob-pugh-1.html||jacob-pugh-1|
jaire-alexander-1|Jaire Alexander|2018|CB|Louisville|71|192|4.38|35.0|14.0|127.0|6.71|3.98|/cfb/players/jaire-alexander-1.html|/players/A/AlexJa00.htm|jaire-alexander-1|AlexJa00
jake-wieneke-2018|Jake Wieneke|2018|WR|South Dakota St.|76|221|4.67|34.0|9.0|114.0|7.24|4.37||||
jaleel-scott-1|Jaleel Scott|2018|WR|New Mexico St.|77|218|4.56|34.5|16.0|124.0|7.2|4.4|/cfb/players/jaleel-scott-1.html||jaleel-scott-1|
jalyn-holmes-1|Jalyn Holmes|2018|DE|Ohio St.|77|283|4.82|32.0|25.0||||/cfb/players/jalyn-holmes-1.html|/players/H/HolmJa01.htm|jalyn-holmes-1|HolmJa01
jamarco-jones-1|Jamarco Jones|2018|OT|Ohio St.|76|299|5.5|24.0||102.0|8.32|4.99|/cfb/players/jamarco-jones-1.html|/players/J/JoneJa08.htm|jamarco-jones-1|JoneJa08
jamarcus-king-1|Jamarcus King|2018|CB|South Carolina|73|186|4.7||||||/cfb/players/jamarcus-king-1.html||jamarcus-king-1|
james-daniels-1|James Daniels|2018|C|Iowa|75|306||30.5|21.0|108.0|7.29|4.4|/cfb/players/james-daniels-1.html|/players/D/DaniJa01.htm|james-daniels-1|DaniJa01
james-hearns-1|James Hearns|2018|EDGE|Louisville|75|239|4.89||22.0||||/cfb/players/james-hearns-1.html||james-hearns-1|
james-looney-1|James Looney|2018|DE|California|75|287|4.89|35.5|28.0|113.0|7.32|4.37|/cfb/players/james-looney-1.html||james-looney-1|
james-washington-5|James Washington|2018|WR|Oklahoma St.|71|213|4.54|34.5|14.0|120.0|7.11|4.32|/cfb/players/james-washington-5.html|/players/W/WashJa00.htm|james-washington-5|WashJa00
jamil-demby-2018|Jamil Demby|2018|OG|Maine|76|319|5.58|23.5|17.0|98.0|7.86|4.95||||
jarvion-franklin-1|Jarvion Franklin|2018|RB|Western Michigan|71|239|4.63|30.0|18.0|109.0|6.93|4.31|/cfb/players/jarvion-franklin-1.html|/players/F/FranJa02.htm|jarvion-franklin-1|FranJa02
jaryd-jones-smith-1|Jaryd Jones-Smith|2018|OT|Pittsburgh|78|317|5.22|27.0|16.0|109.0|8.1|4.94|/cfb/players/jaryd-jones-smith-1.html||jaryd-jones-smith-1|
jason-cabinda-1|Jason Cabinda|2018|ILB|Penn St.|73|239|||19.0||||/cfb/players/jason-cabinda-1.html|/players/C/CabiJa00.htm|jason-cabinda-1|CabiJa00
javon-rolland-jones-1|Javon Rolland-Jones|2018|EDGE|Arkansas State|74|253|4.88||23.0||||/cfb/players/javon-rolland-jones-1.html||javon-rolland-jones-1|
javon-wims-1|Javon Wims|2018|WR|Georgia|75|215|4.53|33.5||113.0|7.0||/cfb/players/javon-wims-1.html|/players/W/WimsJa00.htm|javon-wims-1|WimsJa00
