PlayerYearID|Name|Team|Year|RUSH ATT|RUSH YDS|RUSH YPA|RUSH TD|REC|REC YDS|REC YPC|REC TD|Player ID|Link
ahmmon-richards-1-2018|Ahmmon Richards|Miami (FL)|2018|0|0|0|0|1|9|9|0|ahmmon-richards-1|/cfb/players/ahmmon-richards-1.html
aidan-willard-1-2018|Aidan Willard|Oregon State|2018|1|-15|-15|0|0|0|0|0|aidan-willard-1|/cfb/players/aidan-willard-1.html
aj-brown-4-2018|A.J. Brown|Ole Miss|2018|0|0|0|0|85|1320|15.5|6|aj-brown-4|/cfb/players/aj-brown-4.html
aj-bush-1-2018|AJ Bush|Illinois|2018|138|733|5.3|8|0|0|0|0|aj-bush-1|/cfb/players/aj-bush-1.html
aj-carter-1-2018|A.J. Carter|Arizona State|2018|2|7|3.5|0|0|0|0|0|aj-carter-1|/cfb/players/aj-carter-1.html
aj-davis-4-2018|A.J. Davis|Pitt|2018|26|107|4.1|0|3|17|5.7|0|aj-davis-4|/cfb/players/aj-davis-4.html
aj-dillon-1-2018|AJ Dillon|Boston College|2018|227|1108|4.9|10|8|41|5.1|1|aj-dillon-1|/cfb/players/aj-dillon-1.html
aj-erdely-1-2018|A.J. Erdely|UAB|2018|84|257|3.1|5|0|0|0|0|aj-erdely-1|/cfb/players/aj-erdely-1.html
aj-ouellette-1-2018|A.J. Ouellette|Ohio|2018|184|1142|6.2|12|19|179|9.4|2|aj-ouellette-1|/cfb/players/aj-ouellette-1.html
aj-richardson-1-2018|A.J. Richardson|Boise State|2018|0|0|0|0|54|825|15.3|8|aj-richardson-1|/cfb/players/aj-richardson-1.html
aj-taylor-1-2018|A.J. Taylor|Wisconsin|2018|0|0|0|0|30|508|16.9|3|aj-taylor-1|/cfb/players/aj-taylor-1.html
aj-turner-2-2018|A.J. Turner|South Carolina|2018|46|294|6.4|2|8|75|9.4|2|aj-turner-2|/cfb/players/aj-turner-2.html
akeem-hayes-1-2018|Akeem Hayes|Kentucky|2018|0|0|0|0|1|-1|-1|0|akeem-hayes-1|/cfb/players/akeem-hayes-1.html
akile-davis-1-2018|Akile Davis|Brigham Young|2018|0|0|0|0|4|47|11.8|0|akile-davis-1|/cfb/players/akile-davis-1.html
akilian-butler-1-2018|Akilian Butler|Boise State|2018|0|0|0|0|25|204|8.2|2|akilian-butler-1|/cfb/players/akilian-butler-1.html
alan-bowman-1-2018|Alan Bowman|Texas Tech|2018|29|-26|-0.9|1|1|10|10|0|alan-bowman-1|/cfb/players/alan-bowman-1.html
alan-busey-1-2018|Alan Busey|UTEP|2018|0|0|0|0|4|50|12.5|0|alan-busey-1|/cfb/players/alan-busey-1.html
alante-thomas-1-2018|Alante Thomas|Michigan State|2018|1|6|6|0|1|-6|-6|0|alante-thomas-1|/cfb/players/alante-thomas-1.html
albert-okwuegbunam-1-2018|Albert Okwuegbunam|Missouri|2018|0|0|0|0|43|466|10.8|6|albert-okwuegbunam-1|/cfb/players/albert-okwuegbunam-1.html
aldontre-davis-1-2018|Al'Dontre Davis|Texas Christian|2018|0|0|0|0|6|63|10.5|0|aldontre-davis-1|/cfb/players/aldontre-davis-1.html
alec-harris-1-2018|Alec Harris|Texas State|2018|5|72|14.4|1|1|11|11|0|alec-harris-1|/cfb/players/alec-harris-1.html
alec-ingold-1-2018|Alec Ingold|Wisconsin|2018|21|132|6.3|5|5|93|18.6|1|alec-ingold-1|/cfb/players/alec-ingold-1.html
alec-sinkfield-1-2018|Alec Sinkfield|West Virginia|2018|17|64|3.8|1|4|44|11|0|alec-sinkfield-1|/cfb/players/alec-sinkfield-1.html
aleva-hifo-1-2018|Aleva Hifo|Brigham Young|2018|29|124|4.3|2|26|273|10.5|1|aleva-hifo-1|/cfb/players/aleva-hifo-1.html
alex-bachman-1-2018|Alex Bachman|Wake Forest|2018|0|0|0|0|30|370|12.3|6|alex-bachman-1|/cfb/players/alex-bachman-1.html
alex-barnes-1-2018|Alex Barnes|Kansas State|2018|256|1355|5.3|12|20|194|9.7|0|alex-barnes-1|/cfb/players/alex-barnes-1.html
alex-cook-1-2018|Alex Cook|Washington|2018|0|0|0|0|1|26|26|0|alex-cook-1|/cfb/players/alex-cook-1.html
alex-delton-1-2018|Alex Delton|Kansas State|2018|85|234|2.8|2|0|0|0|0|alex-delton-1|/cfb/players/alex-delton-1.html
alex-fontenot-1-2018|Alex Fontenot|Colorado|2018|11|43|3.9|1|0|0|0|0|alex-fontenot-1|/cfb/players/alex-fontenot-1.html
alex-hornibrook-1-2018|Alex Hornibrook|Wisconsin|2018|20|-61|-3.1|0|0|0|0|0|alex-hornibrook-1|/cfb/players/alex-hornibrook-1.html
alex-james-2-2018|Alex James|Coastal Carolina|2018|59|201|3.4|3|5|26|5.2|1|alex-james-2|/cfb/players/alex-james-2.html
alex-mussat-1-2018|Alex Mussat|Western Michigan|2018|1|0|0|0|0|0|0|0|alex-mussat-1|/cfb/players/alex-mussat-1.html
alex-netherda-1-2018|Alex Netherda|California|2018|1|8|8|0|0|0|0|0|alex-netherda-1|/cfb/players/alex-netherda-1.html
alex-ramart-1-2018|Alex Ramart|Akron|2018|6|-11|-1.8|0|0|0|0|0|alex-ramart-1|/cfb/players/alex-ramart-1.html
alex-roberts-1-2018|Alex Roberts|Arkansas State|2018|6|22|3.7|0|0|0|0|0|alex-roberts-1|/cfb/players/alex-roberts-1.html
alex-thomson-1-2018|Alex Thomson|Marshall|2018|35|50|1.4|1|0|0|0|0|alex-thomson-1|/cfb/players/alex-thomson-1.html
alex-weber-1-2018|Alex Weber|Ole Miss|2018|0|0|0|0|3|35|11.7|0|alex-weber-1|/cfb/players/alex-weber-1.html
alexander-horvath-1-2018|Alexander Horvath|Purdue|2018|9|42|4.7|1|4|38|9.5|0|alexander-horvath-1|/cfb/players/alexander-horvath-1.html
alexander-mattison-1-2018|Alexander Mattison|Boise State|2018|302|1415|4.7|17|27|173|6.4|0|alexander-mattison-1|/cfb/players/alexander-mattison-1.html
alfred-smith-1-2018|Alfred Smith|Louisiana Tech|2018|0|0|0|0|28|313|11.2|2|alfred-smith-1|/cfb/players/alfred-smith-1.html
alize-mack-1-2018|Alize Mack|Notre Dame|2018|0|0|0|0|34|349|10.3|3|alize-mack-1|/cfb/players/alize-mack-1.html
allen-dailey-jr-1-2018|Allen Dailey Jr.|Kentucky|2018|0|0|0|0|2|38|19|1|allen-dailey-jr-1|/cfb/players/allen-dailey-jr-1.html
alonzo-smith-2-2018|Alonzo Smith|Miami (OH)|2018|141|746|5.3|9|10|69|6.9|0|alonzo-smith-2|/cfb/players/alonzo-smith-2.html
amare-jones-1-2018|Amare Jones|Tulane|2018|41|153|3.7|3|6|52|8.7|0|amare-jones-1|/cfb/players/amare-jones-1.html
amari-rodgers-1-2018|Amari Rodgers|Clemson|2018|2|11|5.5|0|46|514|11.2|4|amari-rodgers-1|/cfb/players/amari-rodgers-1.html
ambry-thomas-1-2018|Ambry Thomas|Michigan|2018|1|11|11|0|2|5|2.5|0|ambry-thomas-1|/cfb/players/ambry-thomas-1.html
amir-abdur-rahman-1-2018|Amir Abdur-Rahman|Vanderbilt|2018|0|0|0|0|3|56|18.7|1|amir-abdur-rahman-1|/cfb/players/amir-abdur-rahman-1.html
amir-rasul-1-2018|Amir Rasul|Florida State|2018|10|46|4.6|1|1|-2|-2|0|amir-rasul-1|/cfb/players/amir-rasul-1.html
amir-siddiq-1-2018|Amir Siddiq|Central Michigan|2018|3|6|2|0|0|0|0|0|amir-siddiq-1|/cfb/players/amir-siddiq-1.html
amon-ra-st-brown-1-2018|Amon-Ra St. Brown|USC|2018|2|9|4.5|0|60|750|12.5|3|amon-ra-st-brown-1|/cfb/players/amon-ra-st-brown-1.html
anders-carlson-1-2018|Anders Carlson|Auburn|2018|0|0|0|0|1|3|3|0|anders-carlson-1|/cfb/players/anders-carlson-1.html
andre-baccellia-1-2018|Andre Baccellia|Washington|2018|2|50|25|0|43|475|11|0|andre-baccellia-1|/cfb/players/andre-baccellia-1.html
andre-bodden-1-2018|Andre Bodden|Oregon State|2018|0|0|0|0|2|37|18.5|0|andre-bodden-1|/cfb/players/andre-bodden-1.html
andre-collins-jr-1-2018|Andre Collins Jr.|UNLV|2018|0|0|0|0|1|7|7|0|andre-collins-jr-1|/cfb/players/andre-collins-jr-1.html
andre-hale-ii-1-2018|Andre Hale II|Southern Mississippi|2018|4|28|7|0|0|0|0|0|andre-hale-ii-1|/cfb/players/andre-hale-ii-1.html
andre-nunez-1-2018|Andre Nunez|Louisiana|2018|47|3|0.1|3|1|-1|-1|0|andre-nunez-1|/cfb/players/andre-nunez-1.html
andre-welch-1-2018|Andre Welch|Michigan State|2018|2|7|3.5|0|0|0|0|0|andre-welch-1|/cfb/players/andre-welch-1.html
andre-williams-5-2018|Andre Williams|Akron|2018|1|4|4|0|46|649|14.1|6|andre-williams-5|/cfb/players/andre-williams-5.html
andre-wilson-1-2018|Andre Wilson|UAB|2018|7|104|14.9|1|30|486|16.2|5|andre-wilson-1|/cfb/players/andre-wilson-1.html
andrew-beck-1-2018|Andrew Beck|Texas|2018|0|0|0|0|27|276|10.2|2|andrew-beck-1|/cfb/players/andrew-beck-1.html
andrew-boykin-1-2018|Andrew Boykin|Texas A&M|2018|0|0|0|0|1|8|8|0|andrew-boykin-1|/cfb/players/andrew-boykin-1.html
andrew-bunch-2-2018|Andrew Bunch|Nebraska|2018|16|40|2.5|0|0|0|0|0|andrew-bunch-2|/cfb/players/andrew-bunch-2.html
andrew-clair-1-2018|Andrew Clair|Bowling Green State|2018|135|702|5.2|5|19|102|5.4|2|andrew-clair-1|/cfb/players/andrew-clair-1.html
andrew-davis-3-2018|Andrew Davis|Toledo|2018|0|0|0|0|1|18|18|0|andrew-davis-3|/cfb/players/andrew-davis-3.html
andrew-ford-1-2018|Andrew Ford|Massachusetts|2018|19|-63|-3.3|0|0|0|0|0|andrew-ford-1|/cfb/players/andrew-ford-1.html
andrew-homer-1-2018|Andrew Homer|Miami (OH)|2018|0|0|0|0|16|231|14.4|3|andrew-homer-1|/cfb/players/andrew-homer-1.html
andrew-meyer-1-2018|Andrew Meyer|Ohio|2018|0|0|0|0|34|445|13.1|4|andrew-meyer-1|/cfb/players/andrew-meyer-1.html
andrew-peasley-1-2018|Andrew Peasley|Utah State|2018|7|76|10.9|0|0|0|0|0|andrew-peasley-1|/cfb/players/andrew-peasley-1.html
andrew-smith-6-2018|Andrew Smith|Air Force|2018|5|29|5.8|0|7|126|18|1|andrew-smith-6|/cfb/players/andrew-smith-6.html
andrew-van-buren-1-2018|Andrew Van Buren|Boise State|2018|34|163|4.8|2|0|0|0|0|andrew-van-buren-1|/cfb/players/andrew-van-buren-1.html
andy-davidson-1-2018|Andy Davidson|Army|2018|62|271|4.4|2|0|0|0|0|andy-davidson-1|/cfb/players/andy-davidson-1.html
andy-isabella-1-2018|Andy Isabella|Massachusetts|2018|11|79|7.2|1|101|1697|16.8|13|andy-isabella-1|/cfb/players/andy-isabella-1.html
anselem-umeh-1-2018|Anselem Umeh|New Mexico|2018|0|0|0|0|16|316|19.8|2|anselem-umeh-1|/cfb/players/anselem-umeh-1.html
anthony-anderson-4-2018|Anthony Anderson|Marshall|2018|58|244|4.2|8|4|45|11.3|0|anthony-anderson-4|/cfb/players/anthony-anderson-4.html
anthony-brown-11-2018|Anthony Brown|Boston College|2018|54|85|1.6|1|2|36|18|1|anthony-brown-11|/cfb/players/anthony-brown-11.html
anthony-gargiulo-1-2018|Anthony Gargiulo|Navy|2018|98|427|4.4|0|1|6|6|0|anthony-gargiulo-1|/cfb/players/anthony-gargiulo-1.html
anthony-gordon-2-2018|Anthony Gordon|Washington State|2018|0|0|0|0|1|6|6|0|anthony-gordon-2|/cfb/players/anthony-gordon-2.html
